session_id,timestamp,vendor_id,user_id,asset_id,label_suspicious,supervised_probability,anomaly_percentile,risk_score,risk_level,recommended_action
VPN_0591,2026-08-31 08:50:00,VENDOR_12,USER_12,OT_03,1,0.9826117103229762,96.3,100.0,High,Investigate and block/isolate if confirmed
VPN_0509,2026-08-31 02:54:00,VENDOR_09,USER_09,OT_14,1,0.9648619432404494,99.35,100.0,High,Investigate and block/isolate if confirmed
VPN_1167,2026-08-30 15:55:00,VENDOR_12,USER_12,OT_10,1,0.9882710201531715,92.55,100.0,High,Investigate and block/isolate if confirmed
VPN_1031,2026-08-30 08:51:00,VENDOR_04,USER_04,OT_12,1,0.9869927591554374,97.85,100.0,High,Investigate and block/isolate if confirmed
VPN_0166,2026-08-30 02:19:00,VENDOR_07,USER_07,OT_04,1,0.9817197922414721,99.0,100.0,High,Investigate and block/isolate if confirmed
VPN_0683,2026-08-30 02:16:00,VENDOR_07,USER_07,OT_04,1,0.9817197922414721,99.0,100.0,High,Investigate and block/isolate if confirmed
VPN_0846,2026-08-30 02:13:00,VENDOR_07,USER_07,OT_04,1,0.9817197922414721,99.0,100.0,High,Investigate and block/isolate if confirmed
VPN_0224,2026-08-30 02:10:00,VENDOR_07,USER_07,OT_04,1,0.9703690188782745,99.7,100.0,High,Investigate and block/isolate if confirmed
VPN_0797,2026-08-30 02:07:00,VENDOR_07,USER_07,OT_04,1,0.9703690188782745,99.7,100.0,High,Investigate and block/isolate if confirmed
VPN_0467,2026-08-30 02:04:00,VENDOR_07,USER_07,OT_04,1,0.9703690188782745,99.7,100.0,High,Investigate and block/isolate if confirmed
VPN_1675,2026-08-29 18:42:00,VENDOR_01,USER_01,OT_13,1,0.9978203348807214,93.35,100.0,High,Investigate and block/isolate if confirmed
VPN_1445,2026-08-29 09:10:00,VENDOR_06,USER_06,OT_01,1,0.9941586628881991,97.45,100.0,High,Investigate and block/isolate if confirmed
VPN_0056,2026-08-29 01:22:00,VENDOR_05,USER_05,OT_11,1,0.9579781992176015,96.05,100.0,High,Investigate and block/isolate if confirmed
VPN_1721,2026-08-28 18:35:00,VENDOR_05,USER_05,OT_05,1,0.9703718747267653,92.75,100.0,High,Investigate and block/isolate if confirmed
VPN_0150,2026-08-28 13:47:00,VENDOR_05,USER_05,OT_07,1,0.9898855090025331,92.65,100.0,High,Investigate and block/isolate if confirmed
VPN_0807,2026-08-27 23:07:00,VENDOR_10,USER_10,OT_03,1,0.9954334421327887,96.5,100.0,High,Investigate and block/isolate if confirmed
VPN_0757,2026-08-26 21:14:00,VENDOR_11,USER_11,OT_08,1,0.9835484406116815,94.2,100.0,High,Investigate and block/isolate if confirmed
VPN_0708,2026-08-01 14:56:00,VENDOR_03,USER_03,OT_03,1,0.9892213039528932,98.8,100.0,High,Investigate and block/isolate if confirmed
VPN_0392,2026-08-01 14:50:00,VENDOR_11,USER_11,OT_11,1,0.985499271356044,93.75,100.0,High,Investigate and block/isolate if confirmed
VPN_1868,2026-08-25 20:32:00,VENDOR_12,USER_12,OT_03,1,0.9930807347876288,96.85,100.0,High,Investigate and block/isolate if confirmed
VPN_0723,2026-08-25 17:54:00,VENDOR_03,USER_03,OT_09,1,0.9956979861818572,96.15,100.0,High,Investigate and block/isolate if confirmed
VPN_1685,2026-08-25 14:52:00,VENDOR_12,USER_12,OT_05,1,0.98375157765093,97.0,100.0,High,Investigate and block/isolate if confirmed
VPN_0212,2026-08-25 11:39:00,VENDOR_06,USER_06,OT_15,1,0.9934461917027073,98.2,100.0,High,Investigate and block/isolate if confirmed
VPN_0803,2026-08-25 06:36:00,VENDOR_06,USER_06,OT_06,1,0.9739481778824438,93.7,100.0,High,Investigate and block/isolate if confirmed
VPN_1572,2026-08-24 20:36:00,VENDOR_02,USER_02,OT_15,1,0.9806389671185296,100.0,100.0,High,Investigate and block/isolate if confirmed
VPN_0019,2026-08-24 20:33:00,VENDOR_09,USER_09,OT_11,1,0.9833500683142434,98.35,100.0,High,Investigate and block/isolate if confirmed
VPN_1211,2026-08-24 11:04:00,VENDOR_08,USER_08,OT_12,1,0.9969250435474856,99.3,100.0,High,Investigate and block/isolate if confirmed
VPN_0102,2026-08-23 16:59:00,VENDOR_03,USER_03,OT_15,1,0.9955576298185548,99.85,100.0,High,Investigate and block/isolate if confirmed
VPN_0828,2026-08-23 12:12:00,VENDOR_03,USER_03,OT_05,1,0.9888441511592336,94.5,100.0,High,Investigate and block/isolate if confirmed
VPN_1717,2026-08-23 11:27:00,VENDOR_09,USER_09,OT_11,1,0.983183698777008,93.1,100.0,High,Investigate and block/isolate if confirmed
