event_id,timestamp,session_id,source_ip,destination_asset,protocol,port,action,bytes_out_mb,connection_count,unusual_protocol
FW_0238,2026-08-01 00:22:00,VPN_1059,10.20.3.165,OT_12,HTTPS,443,ALLOW,17.2,11,0
FW_0585,2026-08-01 00:50:00,VPN_1529,10.20.2.94,OT_12,HTTPS,443,ALLOW,3.47,10,0
FW_0479,2026-08-01 01:20:00,VPN_1777,10.20.4.173,OT_07,MODBUS,502,ALLOW,45.17,13,0
FW_0419,2026-08-01 01:29:00,VPN_0652,10.20.3.22,OT_12,SSH,22,ALLOW,2.12,9,0
FW_0762,2026-08-01 01:40:00,VPN_1777,10.20.4.173,OT_07,MODBUS,502,ALLOW,6.85,7,0
FW_1697,2026-08-01 01:51:00,VPN_1381,10.20.5.94,OT_11,MODBUS,502,ALLOW,3.77,6,0
FW_0555,2026-08-01 02:14:00,VPN_1777,10.20.4.173,OT_07,MODBUS,502,ALLOW,11.77,6,0
FW_0875,2026-08-01 03:45:00,VPN_0528,10.20.2.89,OT_04,MODBUS,502,ALLOW,6.91,8,0
FW_0894,2026-08-01 03:55:00,VPN_1298,10.20.12.42,OT_07,MODBUS,502,ALLOW,0.77,7,0
FW_0571,2026-08-01 04:08:00,VPN_1694,10.20.9.119,OT_15,MODBUS,502,ALLOW,8.18,8,0
FW_1610,2026-08-01 04:09:00,VPN_0694,10.20.11.155,OT_06,MODBUS,502,ALLOW,1.25,10,0
FW_1312,2026-08-01 04:18:00,VPN_0918,10.20.11.118,OT_02,SSH,22,ALLOW,3.89,9,0
FW_0641,2026-08-01 04:27:00,VPN_0528,10.20.2.89,OT_04,MODBUS,502,ALLOW,2.21,12,0
FW_0594,2026-08-01 04:40:00,VPN_1298,10.20.12.42,OT_07,SSH,22,ALLOW,8.08,8,0
FW_0697,2026-08-01 04:46:00,VPN_0355,198.51.100.242,OT_01,TELNET,23,DENY,4.73,45,1
FW_1600,2026-08-01 04:49:00,VPN_0694,10.20.11.155,OT_06,HTTPS,443,ALLOW,4.72,8,0
FW_1052,2026-08-01 04:54:00,VPN_0918,10.20.11.118,OT_02,MODBUS,502,ALLOW,4.24,10,0
FW_1171,2026-08-01 05:11:00,VPN_0918,10.20.11.118,OT_02,MODBUS,502,ALLOW,4.13,6,0
FW_0955,2026-08-01 05:11:00,VPN_1200,10.20.3.215,OT_04,MODBUS,502,ALLOW,6.62,8,0
FW_1276,2026-08-01 05:27:00,VPN_1532,10.20.9.187,OT_04,MODBUS,502,ALLOW,7.86,5,0
FW_0161,2026-08-01 06:13:00,VPN_1200,10.20.3.215,OT_04,HTTPS,443,ALLOW,0.72,6,0
