telemetry_id,timestamp,asset_id,sensor_type,value,set_point,deviation,command_count,state,anomaly_flag
TEL_1236,2026-08-01 01:12:00,OT_09,flow_lps,224.948,210.0,14.948,0,NORMAL,0
TEL_1439,2026-08-01 01:14:00,OT_14,reservoir_level_pct,64.513,72.0,7.487,0,NORMAL,0
TEL_1245,2026-08-01 01:37:00,OT_05,reservoir_level_pct,84.925,72.0,12.925,1,NORMAL,0
TEL_0191,2026-08-01 01:42:00,OT_08,flow_lps,321.03,210.0,111.03,11,ALARM,1
TEL_0253,2026-08-01 02:14:00,OT_01,reservoir_level_pct,84.83,72.0,12.83,1,NORMAL,0
TEL_1254,2026-08-01 02:38:00,OT_04,pressure_bar,5.025,4.0,1.025,1,NORMAL,0
TEL_1215,2026-08-01 03:10:00,OT_14,flow_lps,208.22,210.0,1.78,0,NORMAL,0
TEL_1104,2026-08-01 03:21:00,OT_10,flow_lps,143.583,210.0,66.417,1,NORMAL,0
TEL_1445,2026-08-01 03:24:00,OT_08,reservoir_level_pct,67.359,72.0,4.641,2,NORMAL,0
TEL_0926,2026-08-01 03:34:00,OT_10,flow_lps,328.75,210.0,118.75,10,ALARM,1
TEL_0116,2026-08-01 04:43:00,OT_05,chlorine_mg_l,0.789,0.7,0.089,0,NORMAL,0
TEL_0216,2026-08-01 04:59:00,OT_04,flow_lps,193.948,210.0,16.052,0,NORMAL,0
TEL_0254,2026-08-01 05:01:00,OT_07,chlorine_mg_l,0.65,0.7,0.05,0,NORMAL,0
TEL_1426,2026-08-01 05:33:00,OT_06,flow_lps,230.522,210.0,20.522,2,NORMAL,0
TEL_0372,2026-08-01 06:26:00,OT_15,reservoir_level_pct,77.634,72.0,5.634,3,NORMAL,0
TEL_0463,2026-08-01 06:48:00,OT_15,flow_lps,194.658,210.0,15.342,1,NORMAL,0
TEL_1132,2026-08-01 06:55:00,OT_07,flow_lps,203.756,210.0,6.244,2,NORMAL,0
TEL_1068,2026-08-01 07:09:00,OT_02,flow_lps,224.283,210.0,14.283,1,NORMAL,0
TEL_1475,2026-08-01 07:28:00,OT_07,flow_lps,218.178,210.0,8.178,1,NORMAL,0
TEL_1020,2026-08-01 08:19:00,OT_07,flow_lps,193.7,210.0,16.3,6,NORMAL,0
TEL_0738,2026-08-01 09:02:00,OT_13,reservoir_level_pct,67.761,72.0,4.239,1,NORMAL,0
TEL_1025,2026-08-01 09:11:00,OT_08,flow_lps,192.327,210.0,17.673,1,NORMAL,0
TEL_0361,2026-08-01 09:12:00,OT_14,reservoir_level_pct,70.952,72.0,1.048,3,NORMAL,0
TEL_0168,2026-08-01 09:24:00,OT_13,reservoir_level_pct,67.182,72.0,4.818,0,NORMAL,0
TEL_0467,2026-08-01 09:28:00,OT_09,flow_lps,220.822,210.0,10.822,9,ALARM,1
TEL_1010,2026-08-01 10:37:00,OT_06,flow_lps,210.07,210.0,0.07,1,NORMAL,0
TEL_1365,2026-08-01 10:41:00,OT_05,flow_lps,207.168,210.0,2.832,1,NORMAL,0
TEL_0438,2026-08-01 11:00:00,OT_10,flow_lps,215.666,210.0,5.666,3,NORMAL,0
TEL_1114,2026-08-01 11:37:00,OT_08,reservoir_level_pct,73.046,72.0,1.046,1,NORMAL,0
TEL_0119,2026-08-01 11:38:00,OT_07,chlorine_mg_l,0.885,0.7,0.185,3,NORMAL,0
TEL_1288,2026-08-01 11:43:00,OT_01,chlorine_mg_l,0.693,0.7,0.007,0,NORMAL,0
TEL_0592,2026-08-01 12:18:00,OT_04,chlorine_mg_l,0.664,0.7,0.036,1,NORMAL,0
TEL_0521,2026-08-01 12:22:00,OT_01,pressure_bar,3.548,4.0,0.452,0,NORMAL,0
TEL_0656,2026-08-01 12:22:00,OT_01,chlorine_mg_l,0.556,0.7,0.144,2,NORMAL,0
TEL_0066,2026-08-01 13:29:00,OT_14,flow_lps,199.282,210.0,10.718,0,NORMAL,0
TEL_1185,2026-08-01 13:30:00,OT_08,chlorine_mg_l,0.612,0.7,0.088,0,NORMAL,0
TEL_0475,2026-08-01 13:48:00,OT_06,pressure_bar,3.881,4.0,0.119,2,NORMAL,0
TEL_1206,2026-08-01 14:00:00,OT_05,reservoir_level_pct,91.531,72.0,19.531,14,ALARM,1
TEL_0138,2026-08-01 14:03:00,OT_04,chlorine_mg_l,0.656,0.7,0.044,0,NORMAL,0
TEL_0052,2026-08-01 14:44:00,OT_14,pressure_bar,2.94,4.0,1.06,1,NORMAL,0
TEL_0378,2026-08-01 14:56:00,OT_07,pressure_bar,3.525,4.0,0.475,1,NORMAL,0
TEL_1035,2026-08-01 15:06:00,OT_14,flow_lps,231.509,210.0,21.509,1,NORMAL,0
TEL_1270,2026-08-01 16:05:00,OT_06,chlorine_mg_l,0.575,0.7,0.125,0,NORMAL,0
TEL_0326,2026-08-01 16:42:00,OT_04,reservoir_level_pct,68.754,72.0,3.246,0,NORMAL,0
TEL_1137,2026-08-01 16:54:00,OT_14,pressure_bar,3.734,4.0,0.266,0,NORMAL,0
TEL_0172,2026-08-01 17:09:00,OT_02,reservoir_level_pct,67.44,72.0,4.56,1,NORMAL,0
TEL_1490,2026-08-01 17:26:00,OT_01,flow_lps,224.295,210.0,14.295,1,NORMAL,0
TEL_1145,2026-08-01 18:20:00,OT_02,chlorine_mg_l,0.707,0.7,0.007,0,NORMAL,0
TEL_0850,2026-08-01 18:37:00,OT_12,pressure_bar,4.181,4.0,0.181,3,NORMAL,0
TEL_1398,2026-08-01 18:48:00,OT_13,reservoir_level_pct,71.989,72.0,0.011,0,NORMAL,0
TEL_1338,2026-08-01 18:56:00,OT_15,reservoir_level_pct,72.646,72.0,0.646,2,NORMAL,0
TEL_0561,2026-08-01 18:57:00,OT_01,pressure_bar,4.221,4.0,0.221,0,NORMAL,0
TEL_0922,2026-08-01 19:23:00,OT_08,pressure_bar,4.259,4.0,0.259,0,NORMAL,0
TEL_1066,2026-08-01 19:41:00,OT_01,flow_lps,176.639,210.0,33.361,3,NORMAL,0
TEL_0478,2026-08-01 19:55:00,OT_02,pressure_bar,4.074,4.0,0.074,3,NORMAL,0
TEL_1283,2026-08-01 20:38:00,OT_05,reservoir_level_pct,64.733,72.0,7.267,0,NORMAL,0
TEL_0923,2026-08-01 21:06:00,OT_05,flow_lps,240.492,210.0,30.492,1,NORMAL,0
TEL_0149,2026-08-01 21:59:00,OT_09,chlorine_mg_l,0.73,0.7,0.03,1,NORMAL,0
TEL_0596,2026-08-01 22:03:00,OT_13,pressure_bar,4.634,4.0,0.634,1,NORMAL,0
TEL_0702,2026-08-01 22:13:00,OT_07,pressure_bar,4.615,4.0,0.615,4,NORMAL,0
TEL_0916,2026-08-01 22:29:00,OT_15,flow_lps,210.022,210.0,0.022,0,NORMAL,0
TEL_0455,2026-08-01 22:30:00,OT_05,chlorine_mg_l,0.748,0.7,0.048,1,NORMAL,0
TEL_0838,2026-08-01 22:37:00,OT_02,reservoir_level_pct,66.815,72.0,5.185,4,NORMAL,0
TEL_0585,2026-08-01 22:39:00,OT_09,flow_lps,220.632,210.0,10.632,1,NORMAL,0
TEL_1240,2026-08-01 23:21:00,OT_06,flow_lps,217.428,210.0,7.428,2,NORMAL,0
TEL_1436,2026-08-01 23:28:00,OT_09,chlorine_mg_l,0.649,0.7,0.051,1,NORMAL,0
TEL_0713,2026-08-02 00:01:00,OT_11,pressure_bar,4.04,4.0,0.04,2,NORMAL,0
TEL_1282,2026-08-02 01:33:00,OT_13,pressure_bar,3.587,4.0,0.413,0,NORMAL,0
TEL_1080,2026-08-02 02:31:00,OT_15,pressure_bar,3.874,4.0,0.126,0,NORMAL,0
TEL_0228,2026-08-02 02:44:00,OT_08,chlorine_mg_l,0.859,0.7,0.159,0,NORMAL,0
TEL_0060,2026-08-02 03:08:00,OT_01,chlorine_mg_l,0.821,0.7,0.121,1,NORMAL,0
TEL_0075,2026-08-02 03:42:00,OT_08,reservoir_level_pct,63.418,72.0,8.582,2,NORMAL,0
TEL_1064,2026-08-02 03:47:00,OT_12,flow_lps,269.49,210.0,59.49,1,NORMAL,0
TEL_0403,2026-08-02 03:54:00,OT_08,reservoir_level_pct,71.498,72.0,0.502,0,NORMAL,0
TEL_0961,2026-08-02 04:19:00,OT_04,chlorine_mg_l,0.733,0.7,0.033,1,NORMAL,0
TEL_0044,2026-08-02 05:54:00,OT_13,flow_lps,225.094,210.0,15.094,2,NORMAL,0
TEL_1435,2026-08-02 06:00:00,OT_01,flow_lps,205.062,210.0,4.938,0,NORMAL,0
TEL_0889,2026-08-02 06:09:00,OT_11,reservoir_level_pct,75.165,72.0,3.165,0,NORMAL,0
TEL_0297,2026-08-02 06:12:00,OT_12,pressure_bar,3.726,4.0,0.274,2,NORMAL,0
TEL_0832,2026-08-02 06:13:00,OT_10,flow_lps,174.452,210.0,35.548,0,NORMAL,0
TEL_0013,2026-08-02 06:22:00,OT_14,pressure_bar,4.616,4.0,0.616,1,NORMAL,0
TEL_0534,2026-08-02 06:53:00,OT_02,reservoir_level_pct,73.578,72.0,1.578,1,NORMAL,0
TEL_1195,2026-08-02 07:00:00,OT_03,reservoir_level_pct,86.558,72.0,14.558,1,NORMAL,0
TEL_0550,2026-08-02 08:43:00,OT_15,pressure_bar,4.759,4.0,0.759,1,NORMAL,0
TEL_0206,2026-08-02 09:14:00,OT_12,pressure_bar,4.031,4.0,0.031,1,NORMAL,0
TEL_0911,2026-08-02 09:27:00,OT_08,flow_lps,223.647,210.0,13.647,2,NORMAL,0
TEL_1166,2026-08-02 09:53:00,OT_15,flow_lps,212.286,210.0,2.286,0,NORMAL,0
TEL_0304,2026-08-02 10:19:00,OT_15,reservoir_level_pct,65.036,72.0,6.964,0,NORMAL,0
