session_id,timestamp,vendor_id,user_id,source_ip,device_id,geo_region,login_result,mfa_used,duration_min,bytes_out_mb,asset_id,off_hours,new_device,failed_attempts,unusual_asset,label_suspicious
VPN_1882,2026-08-01 00:01:00,VENDOR_09,USER_09,10.20.9.210,DEV_09_A,Windhoek,SUCCESS,1,35.7,2.24,OT_04,1,0,1,0,0
VPN_1529,2026-08-01 00:03:00,VENDOR_02,USER_02,10.20.2.94,DEV_02_A,Windhoek,SUCCESS,1,15.0,22.28,OT_12,1,0,0,0,0
VPN_1059,2026-08-01 00:21:00,VENDOR_03,USER_03,10.20.3.165,DEV_03_A,Windhoek,SUCCESS,1,52.0,5.08,OT_12,1,0,0,0,0
VPN_0652,2026-08-01 00:27:00,VENDOR_03,USER_03,10.20.3.22,DEV_03_A,Windhoek,SUCCESS,1,50.0,5.81,OT_12,1,0,0,0,0
VPN_0975,2026-08-01 00:48:00,VENDOR_04,USER_04,198.51.100.45,DEV_EXT_756,Outside Namibia,FAIL,1,89.5,80.01,OT_11,1,1,7,0,1
VPN_1777,2026-08-01 01:11:00,VENDOR_04,USER_04,10.20.4.173,DEV_04_A,Windhoek,SUCCESS,1,11.7,7.22,OT_07,1,0,0,0,0
VPN_1381,2026-08-01 01:18:00,VENDOR_05,USER_05,10.20.5.94,DEV_05_A,Windhoek,SUCCESS,1,49.7,18.17,OT_11,1,0,1,0,0
VPN_1751,2026-08-01 02:45:00,VENDOR_04,USER_04,10.20.4.146,DEV_04_A,Windhoek,SUCCESS,1,19.5,3.78,OT_09,1,0,0,0,0
VPN_1306,2026-08-01 02:47:00,VENDOR_09,USER_09,10.20.9.138,DEV_09_A,Erongo,SUCCESS,1,29.6,14.64,OT_14,1,0,0,0,0
VPN_0355,2026-08-01 03:26:00,VENDOR_05,USER_05,198.51.100.242,DEV_EXT_983,Outside Namibia,FAIL,0,48.7,82.6,OT_01,1,1,4,1,1
VPN_1694,2026-08-01 03:30:00,VENDOR_09,USER_09,10.20.9.119,DEV_09_A,Windhoek,SUCCESS,1,24.6,4.58,OT_15,1,0,0,0,0
VPN_1298,2026-08-01 03:32:00,VENDOR_12,USER_12,10.20.12.42,DEV_12_A,Windhoek,SUCCESS,1,33.8,4.48,OT_07,1,0,1,0,0
VPN_0694,2026-08-01 03:40:00,VENDOR_11,USER_11,10.20.11.155,DEV_11_A,Windhoek,SUCCESS,1,30.4,4.99,OT_06,1,0,0,0,0
VPN_0528,2026-08-01 03:42:00,VENDOR_02,USER_02,10.20.2.89,DEV_02_A,Windhoek,SUCCESS,1,27.5,4.55,OT_04,1,0,0,0,0
VPN_0918,2026-08-01 04:04:00,VENDOR_11,USER_11,10.20.11.118,DEV_11_A,Windhoek,SUCCESS,1,11.9,18.14,OT_02,1,0,0,0,0
VPN_1302,2026-08-01 05:01:00,VENDOR_03,USER_03,10.20.3.217,DEV_03_A,Windhoek,SUCCESS,1,8.7,5.31,OT_08,1,0,0,0,0
VPN_1200,2026-08-01 05:10:00,VENDOR_03,USER_03,10.20.3.215,DEV_03_A,Windhoek,SUCCESS,1,30.8,4.04,OT_04,1,0,0,0,0
VPN_1532,2026-08-01 05:25:00,VENDOR_09,USER_09,10.20.9.187,DEV_09_A,Windhoek,SUCCESS,1,17.8,10.79,OT_04,1,0,1,0,0
VPN_0316,2026-08-01 06:37:00,VENDOR_03,USER_03,10.20.3.217,DEV_03_A,Windhoek,SUCCESS,0,37.7,9.05,OT_09,0,0,0,0,0
VPN_0735,2026-08-01 06:58:00,VENDOR_10,USER_10,10.20.10.89,DEV_10_A,Erongo,SUCCESS,1,36.2,4.36,OT_04,0,0,0,0,0
VPN_1682,2026-08-01 08:05:00,VENDOR_10,USER_10,10.20.10.125,DEV_10_A,Windhoek,SUCCESS,1,11.1,3.5,OT_01,0,0,0,0,0
