session_id,timestamp,vendor_id,user_id,source_ip,device_id,geo_region,login_result,mfa_used,duration_min,bytes_out_mb,asset_id,off_hours,new_device,failed_attempts,unusual_asset,label_suspicious,hour,login_success,region_local,supervised_probability,anomaly_percentile,is_outlier,risk_score,risk_level,recommended_action
VPN_0591,2026-08-31 08:50:00,VENDOR_12,USER_12,198.51.100.214,DEV_EXT_198,Outside Namibia,SUCCESS,1,92.0,105.6,OT_03,0,1,7,1,1,8,1,0,0.9826117103229762,96.3,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0509,2026-08-31 02:54:00,VENDOR_09,USER_09,198.51.100.11,DEV_EXT_502,Outside Namibia,SUCCESS,1,101.7,420.0,OT_14,1,1,2,0,1,2,1,0,0.9648619432404494,99.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1167,2026-08-30 15:55:00,VENDOR_12,USER_12,198.51.100.112,DEV_EXT_544,Outside Namibia,SUCCESS,1,94.1,38.34,OT_10,0,1,5,1,1,15,1,0,0.9882710201531715,92.55,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1031,2026-08-30 08:51:00,VENDOR_04,USER_04,198.51.100.67,DEV_EXT_480,Outside Namibia,SUCCESS,0,47.2,51.79,OT_12,0,1,10,0,1,8,1,0,0.9869927591554374,97.85,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0166,2026-08-30 02:19:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,SUCCESS,0,118.0,186.0,OT_04,1,1,1,1,1,2,1,0,0.9817197922414721,99.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0683,2026-08-30 02:16:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,SUCCESS,0,118.0,186.0,OT_04,1,1,1,1,1,2,1,0,0.9817197922414721,99.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0846,2026-08-30 02:13:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,SUCCESS,0,118.0,186.0,OT_04,1,1,1,1,1,2,1,0,0.9817197922414721,99.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0224,2026-08-30 02:10:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,FAIL,0,2.0,0.2,OT_04,1,1,5,1,1,2,0,0,0.9703690188782745,99.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0797,2026-08-30 02:07:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,FAIL,0,2.0,0.2,OT_04,1,1,5,1,1,2,0,0,0.9703690188782745,99.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0467,2026-08-30 02:04:00,VENDOR_07,USER_07,198.51.100.77,DEV_EXT_777,Outside Namibia,FAIL,0,2.0,0.2,OT_04,1,1,5,1,1,2,0,0,0.9703690188782745,99.7,1,100.0,High,Investigate and block/isolate if confirmed
